id,student_count,pv_kw_t,bat_kw_t,demand_e,pv_kw_e,bat_kw_e,capex,capex_oem,npv_e,npv_demand_e,lcoe_e,opex,co2_e
2220,177.41,120,172.800003051758,2128.92,2.33,3.36,3310.57,66.21,4958.89,28659.97,0.173,107.37,0.7025
410,178.9,144,201.600006103516,2146.8,2.82,3.95,3968.79,79.38,5925.79,28900.67,0.205,127.77,0.7084
1111,180.06,132,230.399993896484,2160.72,2.6,4.55,3955.09,79.1,6055.6,29088.07,0.2082,134.84,0.713
2261,180.5,120,172.800003051758,2166.0,2.37,3.42,3368.16,67.36,5045.51,29159.15,0.173,109.25,0.7148
374,181.76,132,230.399993896484,2181.12,2.63,4.59,3996.65,79.93,6117.3,29362.7,0.2083,136.16,0.7198
2208,183.66,120,172.800003051758,2203.92,2.42,3.48,3435.26,68.71,5144.14,29669.63,0.1734,111.34,0.7273
649,184.49,144,201.600006103516,2213.88,2.91,4.08,4096.73,81.93,6117.36,29803.72,0.2053,131.91,0.7306
1048,185.49,132,230.399993896484,2225.88,2.68,4.68,4073.52,81.47,6235.42,29965.26,0.2081,138.8,0.7345
272,185.99,132,230.399993896484,2231.88,2.69,4.7,4089.55,81.79,6260.33,30046.04,0.2084,139.36,0.7365
50,186.04,156,201.600006103516,2232.48,3.18,4.11,4363.26,87.27,6457.79,30054.12,0.2149,137.62,0.7367
5,187.54,156,201.600006103516,2250.48,3.21,4.14,4401.57,88.03,6512.92,30296.44,0.215,138.75,0.7427
897,189.18,144,201.600006103516,2270.16,2.99,4.18,4205.39,84.11,6277.69,30561.37,0.2054,135.32,0.7492
1095,189.79,144,201.600006103516,2277.48,3.0,4.19,4218.16,84.36,6296.02,30659.91,0.2054,135.69,0.7516
1242,190.01,144,230.399993896484,2280.12,3.0,4.8,4416.93,88.34,6693.84,30695.46,0.2181,147.14,0.7524
2990,190.11,120,172.800003051758,2281.32,2.5,3.6,3550.44,71.01,5317.38,30711.61,0.1731,115.11,0.7528
937,191.33,144,201.600006103516,2295.96,3.02,4.23,4250.21,85.0,6345.85,30908.7,0.2053,136.82,0.7577
23,191.48,156,201.600006103516,2297.76,3.27,4.23,4487.95,89.76,6642.91,30932.93,0.2148,141.58,0.7583
2878,192.2,120,172.800003051758,2306.4,2.53,3.64,3592.0,71.84,5379.09,31049.24,0.1732,116.43,0.7611
1928,192.57,120,172.800003051758,2310.84,2.53,3.65,3595.26,71.91,5385.67,31109.01,0.1731,116.62,0.7626
247,193.46,132,230.399993896484,2321.52,2.8,4.88,4252.81,85.06,6508.45,31252.79,0.2083,144.84,0.7661
177,193.49,132,230.399993896484,2321.88,2.8,4.89,4256.07,85.12,6514.9,31257.64,0.2084,145.02,0.7662
2743,194.31,120,172.800003051758,2331.72,2.56,3.68,3633.56,72.67,5440.79,31390.11,0.1733,117.75,0.7695
2244,196.55,120,172.800003051758,2358.6,2.58,3.72,3665.61,73.31,5490.61,31751.97,0.1729,118.88,0.7783
1640,197.33,120,172.800003051758,2367.96,2.6,3.74,3691.15,73.82,5527.41,31877.98,0.1734,119.64,0.7814
1422,199.59,144,230.399993896484,2395.08,3.15,5.04,4637.78,92.76,7028.57,32243.07,0.218,154.5,0.7904
3016,199.66,108,172.800003051758,2395.92,2.36,3.78,3475.96,69.52,5268.43,32254.38,0.1633,115.82,0.7907
2299,199.78,120,172.800003051758,2397.36,2.63,3.78,3732.71,74.65,5589.11,32273.76,0.1732,120.96,0.7911
10,202.8,156,201.600006103516,2433.6,3.47,4.48,4759.6,95.19,7043.48,32761.64,0.215,150.07,0.8031
2570,204.93,120,172.800003051758,2459.16,2.69,3.88,3822.35,76.45,5725.69,33105.73,0.173,123.98,0.8115
3044,207.99,108,172.800003051758,2495.88,2.46,3.94,3623.19,72.46,5491.5,33600.06,0.1634,120.73,0.8236
2588,208.93,120,172.800003051758,2507.16,2.75,3.96,3905.48,78.11,5849.1,33751.92,0.1733,126.62,0.8274
679,210.64,132,230.399993896484,2527.68,3.05,5.32,4633.92,92.68,7092.32,34028.16,0.2084,157.85,0.8341
599,210.76,144,201.600006103516,2529.12,3.33,4.66,4685.12,93.7,6994.53,34047.55,0.2054,150.78,0.8346
1373,211.64,144,230.399993896484,2539.68,3.34,5.34,4916.21,98.32,7449.79,34189.71,0.2179,163.74,0.8381
1616,211.73,120,172.800003051758,2540.76,2.78,4.01,3950.3,79.01,5917.39,34204.25,0.173,128.13,0.8385
2565,212.77,120,172.800003051758,2553.24,2.8,4.03,3975.84,79.52,5954.18,34372.25,0.1732,128.89,0.8426
1856,213.38,120,172.800003051758,2560.56,2.81,4.04,3988.6,79.77,5972.51,34470.8,0.1733,129.26,0.845
