id,student_count,student_school,pop_per_school,pv_kw_t,bat_kw_t
241,,855.63,855.63,132,230.399993896484
242,,4512.57,4512.57,132,230.399993896484
243,,8693.1,8693.1,132,230.399993896484
244,,855.63,855.63,132,230.399993896484
245,,4932.27,4932.27,132,230.399993896484
247,,193.46,193.46,132,230.399993896484
248,,193.46,193.46,132,230.399993896484
249,,193.46,193.46,132,230.399993896484
250,,404.44,404.44,132,230.399993896484
251,,404.44,404.44,132,230.399993896484
252,,644.28,644.28,132,230.399993896484
253,,644.28,644.28,132,230.399993896484
254,,213.64,213.64,132,230.399993896484
255,,213.64,213.64,132,230.399993896484
256,,213.64,213.64,132,230.399993896484
257,,213.64,213.64,132,230.399993896484
258,,213.64,213.64,132,230.399993896484
260,,213.64,213.64,132,230.399993896484
261,,213.64,213.64,132,230.399993896484
263,,5409.8,5409.8,132,230.399993896484
264,,418.44,418.44,132,230.399993896484
265,,418.44,418.44,132,230.399993896484
266,,418.44,418.44,132,230.399993896484
267,,418.44,418.44,132,230.399993896484
269,,4357.69,4357.69,132,230.399993896484
271,,11826.31,11826.31,144,201.600006103516
272,,185.99,185.99,132,230.399993896484
273,,1624.76,1624.76,132,230.399993896484
274,,10132.78,10132.78,120,259.200012207031
275,,1434.81,1434.81,132,230.399993896484
276,,8428,8428,132,230.399993896484
277,,1255.77,1255.77,132,230.399993896484
278,,1255.77,1255.77,132,230.399993896484
280,,816.57,816.57,132,230.399993896484
282,,873.02,873.02,132,230.399993896484
283,,816.57,816.57,132,230.399993896484
284,,873.02,873.02,132,230.399993896484
285,,873.02,873.02,132,230.399993896484
286,,1435.94,1435.94,132,230.399993896484
287,,873.02,873.02,132,230.399993896484
288,,816.57,816.57,132,230.399993896484
290,,1255.77,1255.77,132,230.399993896484
291,,1255.77,1255.77,132,230.399993896484
292,,816.57,816.57,132,230.399993896484
293,,119.43,119.43,132,230.399993896484
294,,119.43,119.43,132,230.399993896484
295,,873.02,873.02,132,230.399993896484
296,,873.02,873.02,132,230.399993896484
297,,4273.39,4273.39,168,201.600006103516
298,,4273.39,4273.39,168,201.600006103516
299,,1435.94,1435.94,132,230.399993896484
300,,119.43,119.43,132,230.399993896484
301,,119.43,119.43,132,230.399993896484
302,,1866.75,1866.75,144,201.600006103516
305,,1435.94,1435.94,132,230.399993896484
306,,816.57,816.57,132,230.399993896484
307,,816.57,816.57,132,230.399993896484
309,,3148.62,3148.62,132,230.399993896484
310,,778.07,778.07,132,230.399993896484
311,,49854.73,49854.73,132,230.399993896484
312,,390.99,390.99,132,230.399993896484
313,,930.46,930.46,132,230.399993896484
314,,930.46,930.46,132,230.399993896484
315,,808.29,808.29,132,230.399993896484
316,,808.29,808.29,132,230.399993896484
317,,808.29,808.29,132,230.399993896484
318,,808.29,808.29,132,230.399993896484
319,,802.67,802.67,144,172.800003051758
320,,802.67,802.67,144,172.800003051758
321,,808.29,808.29,132,230.399993896484
322,,808.29,808.29,132,230.399993896484
323,,808.29,808.29,132,230.399993896484
324,,808.29,808.29,132,230.399993896484
325,,808.29,808.29,132,230.399993896484
326,,808.29,808.29,132,230.399993896484
328,,3148.62,3148.62,132,230.399993896484
329,,390.99,390.99,132,230.399993896484
331,,778.07,778.07,132,230.399993896484
332,,778.07,778.07,132,230.399993896484
333,,390.99,390.99,132,230.399993896484
334,,2458.22,2458.22,132,230.399993896484
335,,778.07,778.07,132,230.399993896484
338,,778.07,778.07,132,230.399993896484
339,,390.99,390.99,132,230.399993896484
340,,778.07,778.07,132,230.399993896484
341,,390.99,390.99,132,230.399993896484
342,,1254.99,1254.99,144,172.800003051758
343,,1254.99,1254.99,144,172.800003051758
344,,390.99,390.99,132,230.399993896484
345,,390.99,390.99,132,230.399993896484
346,,390.99,390.99,132,230.399993896484
347,,2458.22,2458.22,132,230.399993896484
348,,390.99,390.99,132,230.399993896484
349,,390.99,390.99,132,230.399993896484
350,,390.99,390.99,132,230.399993896484
351,,390.99,390.99,132,230.399993896484
352,,390.99,390.99,132,230.399993896484
353,,930.46,930.46,132,230.399993896484
354,,930.46,930.46,132,230.399993896484
355,,5319.37,5319.37,132,230.399993896484
356,,390.99,390.99,132,230.399993896484
357,,7864.01,7864.01,144,201.600006103516
358,,1725.64,1725.64,144,201.600006103516
359,,405.87,405.87,144,201.600006103516
361,,9664.3,9664.3,144,201.600006103516
362,,405.87,405.87,144,201.600006103516
363,,1725.64,1725.64,144,201.600006103516
364,,1439.45,1439.45,144,201.600006103516
365,,1206.65,1206.65,144,201.600006103516
366,,1725.64,1725.64,144,201.600006103516
367,,646.41,646.41,144,201.600006103516
369,,1725.64,1725.64,144,201.600006103516
370,,3062.46,3062.46,144,201.600006103516
371,,646.41,646.41,144,201.600006103516
372,,646.41,646.41,144,201.600006103516
374,,181.76,181.76,132,230.399993896484
375,,646.41,646.41,144,201.600006103516
376,,1439.45,1439.45,144,201.600006103516
377,,646.41,646.41,144,201.600006103516
378,,181.76,181.76,132,230.399993896484
379,,181.76,181.76,132,230.399993896484
380,,1206.65,1206.65,144,201.600006103516
381,,1206.65,1206.65,144,201.600006103516
382,,1206.65,1206.65,144,201.600006103516
383,,405.87,405.87,144,201.600006103516
384,,646.41,646.41,144,201.600006103516
385,,646.41,646.41,144,201.600006103516
386,,1439.45,1439.45,144,201.600006103516
387,,4645.48,4645.48,132,230.399993896484
388,,181.76,181.76,132,230.399993896484
389,,181.76,181.76,132,230.399993896484
390,,181.76,181.76,132,230.399993896484
391,,181.76,181.76,132,230.399993896484
392,,181.76,181.76,132,230.399993896484
393,,405.87,405.87,144,201.600006103516
394,,1439.45,1439.45,144,201.600006103516
395,,405.87,405.87,144,201.600006103516
396,,181.76,181.76,132,230.399993896484
397,,405.87,405.87,144,201.600006103516
398,,181.76,181.76,132,230.399993896484
399,,181.76,181.76,132,230.399993896484
400,,181.76,181.76,132,230.399993896484
401,,181.76,181.76,132,230.399993896484
402,,181.76,181.76,132,230.399993896484
403,,181.76,181.76,132,230.399993896484
404,,181.76,181.76,132,230.399993896484
405,,181.76,181.76,132,230.399993896484
406,,7864.01,7864.01,144,201.600006103516
407,,1439.45,1439.45,144,201.600006103516
408,,512.69,512.69,144,201.600006103516
409,,512.69,512.69,144,201.600006103516
410,,178.9,178.9,144,201.600006103516
411,,178.9,178.9,144,201.600006103516
412,,1545.96,1545.96,132,230.399993896484
413,,889.4,889.4,144,201.600006103516
414,,889.4,889.4,144,201.600006103516
415,,178.9,178.9,144,201.600006103516
416,,178.9,178.9,144,201.600006103516
418,,1485.19,1485.19,132,230.399993896484
419,,994.65,994.65,144,201.600006103516
420,,820,820,144,201.600006103516
421,,820,820,144,201.600006103516
423,,889.4,889.4,144,201.600006103516
424,,820,820,144,201.600006103516
425,,820,820,144,201.600006103516
426,,1485.19,1485.19,132,230.399993896484
427,,1485.19,1485.19,132,230.399993896484
428,,231.92,231.92,132,230.399993896484
429,,231.92,231.92,132,230.399993896484
430,,231.92,231.92,132,230.399993896484
431,,231.92,231.92,132,230.399993896484
432,,1867.94,1867.94,132,230.399993896484
433,,1867.94,1867.94,132,230.399993896484
434,,231.92,231.92,132,230.399993896484
435,,386.35,386.35,132,230.399993896484
436,,386.35,386.35,132,230.399993896484
437,,1545.96,1545.96,132,230.399993896484
438,,468.67,468.67,132,230.399993896484
439,,468.67,468.67,132,230.399993896484
441,,3071.65,3071.65,132,230.399993896484
442,,102,102,132,230.399993896484
443,,102,102,132,230.399993896484
444,,885.14,885.14,132,230.399993896484
445,,518.99,518.99,132,230.399993896484
446,,16124.17,16124.17,132,230.399993896484
447,,2591.48,2591.48,132,230.399993896484
448,,285.98,285.98,132,230.399993896484
450,,102,102,132,230.399993896484
451,,285.98,285.98,132,230.399993896484
453,,5026.62,5026.62,156,201.600006103516
454,,490.59,490.59,132,230.399993896484
455,,102,102,132,230.399993896484
456,,518.99,518.99,132,230.399993896484
457,,51121.28,51121.28,156,201.600006103516
458,,490.59,490.59,132,230.399993896484
459,,490.59,490.59,132,230.399993896484
461,,518.99,518.99,132,230.399993896484
462,,518.99,518.99,132,230.399993896484
463,,106.14,106.14,132,230.399993896484
464,,106.14,106.14,132,230.399993896484
465,,285.98,285.98,132,230.399993896484
466,,285.98,285.98,132,230.399993896484
467,,6751.47,6751.47,156,201.600006103516
469,,285.98,285.98,132,230.399993896484
470,,3221.73,3221.73,132,230.399993896484
471,,6751.47,6751.47,156,201.600006103516
472,,2351.24,2351.24,120,259.200012207031
473,,544.27,544.27,132,230.399993896484
474,,544.27,544.27,132,230.399993896484
475,,102,102,132,230.399993896484
476,,1167.24,1167.24,132,230.399993896484
477,,1167.24,1167.24,132,230.399993896484
478,,2460.86,2460.86,156,201.600006103516
479,,544.27,544.27,132,230.399993896484
480,,20.99,20.99,132,230.399993896484
481,,20.99,20.99,132,230.399993896484
482,,2460.86,2460.86,156,201.600006103516
483,,2460.86,2460.86,156,201.600006103516
484,,20.99,20.99,132,230.399993896484
485,,285.98,285.98,132,230.399993896484
486,,1815.27,1815.27,132,230.399993896484
488,,1167.24,1167.24,132,230.399993896484
489,,1915.3,1915.3,120,201.600006103516
490,,885.14,885.14,132,230.399993896484
491,,490.59,490.59,132,230.399993896484
492,,490.59,490.59,132,230.399993896484
493,,885.14,885.14,132,230.399993896484
494,,490.59,490.59,132,230.399993896484
495,,285.98,285.98,132,230.399993896484
496,,285.98,285.98,132,230.399993896484
498,,292.42,292.42,132,230.399993896484
499,,310.49,310.49,132,230.399993896484
500,,2417.04,2417.04,156,201.600006103516
501,,91.68,91.68,132,230.399993896484
502,,91.68,91.68,132,230.399993896484
503,,91.68,91.68,132,230.399993896484
504,,91.68,91.68,132,230.399993896484
506,,326.54,326.54,144,201.600006103516
507,,172.88,172.88,132,230.399993896484
509,,584.81,584.81,132,230.399993896484
510,,172.88,172.88,132,230.399993896484
512,,2106.96,2106.96,132,230.399993896484
513,,172.88,172.88,132,230.399993896484
515,,310.49,310.49,132,230.399993896484
516,,21225.15,21225.15,132,230.399993896484
517,,559.03,559.03,132,230.399993896484
519,,292.42,292.42,132,230.399993896484
520,,559.03,559.03,132,230.399993896484
521,,10776.5,10776.5,132,230.399993896484
522,,2565.06,2565.06,132,230.399993896484
524,,6448.28,6448.28,132,230.399993896484
526,,326.54,326.54,144,201.600006103516
527,,326.54,326.54,144,201.600006103516
528,,326.54,326.54,144,201.600006103516
529,,441.15,441.15,132,230.399993896484
530,,441.15,441.15,132,230.399993896484
531,,91.68,91.68,132,230.399993896484
532,,91.68,91.68,132,230.399993896484
533,,584.81,584.81,132,230.399993896484
534,,172.88,172.88,132,230.399993896484
535,,172.88,172.88,132,230.399993896484
536,,441.15,441.15,132,230.399993896484
537,,172.88,172.88,132,230.399993896484
538,,441.15,441.15,132,230.399993896484
539,,172.88,172.88,132,230.399993896484
540,,172.88,172.88,132,230.399993896484
541,,306.16,306.16,144,201.600006103516
542,,172.88,172.88,132,230.399993896484
543,,172.88,172.88,132,230.399993896484
544,,172.88,172.88,132,230.399993896484
545,,441.15,441.15,132,230.399993896484
546,,441.15,441.15,132,230.399993896484
548,,2106.96,2106.96,132,230.399993896484
549,,306.16,306.16,144,201.600006103516
550,,306.16,306.16,144,201.600006103516
551,,584.81,584.81,132,230.399993896484
552,,306.16,306.16,144,201.600006103516
553,,523.81,523.81,144,201.600006103516
554,,584.81,584.81,132,230.399993896484
555,,306.16,306.16,144,201.600006103516
556,,91.68,91.68,132,230.399993896484
557,,306.16,306.16,144,201.600006103516
558,,584.81,584.81,132,230.399993896484
559,,292.42,292.42,132,230.399993896484
560,,2511.46,2511.46,132,230.399993896484
561,,2511.46,2511.46,132,230.399993896484
562,,292.42,292.42,132,230.399993896484
563,,292.42,292.42,132,230.399993896484
564,,292.42,292.42,132,230.399993896484
565,,292.42,292.42,132,230.399993896484
567,,292.42,292.42,132,230.399993896484
568,,788.33,788.33,132,230.399993896484
571,,1193.29,1193.29,132,230.399993896484
572,,172.88,172.88,132,230.399993896484
573,,1308.37,1308.37,132,230.399993896484
574,,584.81,584.81,132,230.399993896484
575,,1308.37,1308.37,132,230.399993896484
576,,248.74,248.74,132,230.399993896484
577,,248.74,248.74,132,230.399993896484
578,,559.03,559.03,132,230.399993896484
579,,584.81,584.81,132,230.399993896484
581,,172.88,172.88,132,230.399993896484
582,,172.88,172.88,132,230.399993896484
584,,788.33,788.33,132,230.399993896484
585,,788.33,788.33,132,230.399993896484
586,,559.03,559.03,132,230.399993896484
587,,584.81,584.81,132,230.399993896484
588,,321.03,321.03,144,201.600006103516
589,,321.03,321.03,144,201.600006103516
591,,355.23,355.23,132,230.399993896484
594,,518.51,518.51,132,230.399993896484
595,,775.58,775.58,132,230.399993896484
596,,139.94,139.94,144,201.600006103516
597,,139.94,139.94,144,201.600006103516
598,,2114.63,2114.63,144,201.600006103516
599,,210.76,210.76,144,201.600006103516
600,,490.57,490.57,132,230.399993896484
601,,2114.63,2114.63,144,201.600006103516
602,,417.21,417.21,132,230.399993896484
603,,417.21,417.21,132,230.399993896484
604,,355.23,355.23,132,230.399993896484
605,,518.51,518.51,132,230.399993896484
606,,490.57,490.57,132,230.399993896484
607,,355.23,355.23,132,230.399993896484
608,,355.23,355.23,132,230.399993896484
609,,417.21,417.21,132,230.399993896484
610,,1246.42,1246.42,132,230.399993896484
611,,3328.4,3328.4,144,201.600006103516
612,,490.57,490.57,132,230.399993896484
613,,355.23,355.23,132,230.399993896484
615,,417.21,417.21,132,230.399993896484
616,,376.69,376.69,144,201.600006103516
617,,376.69,376.69,144,201.600006103516
618,,121.36,121.36,132,230.399993896484
620,,490.57,490.57,132,230.399993896484
621,,1376.18,1376.18,132,230.399993896484
622,,153.83,153.83,132,230.399993896484
623,,153.83,153.83,132,230.399993896484
624,,153.83,153.83,132,230.399993896484
625,,210.76,210.76,144,201.600006103516
626,,518.51,518.51,132,230.399993896484
627,,518.51,518.51,132,230.399993896484
628,,490.57,490.57,132,230.399993896484
629,,153.83,153.83,132,230.399993896484
630,,153.83,153.83,132,230.399993896484
631,,153.83,153.83,132,230.399993896484
632,,153.83,153.83,132,230.399993896484
633,,153.83,153.83,132,230.399993896484
634,,153.83,153.83,132,230.399993896484
635,,153.83,153.83,132,230.399993896484
636,,153.83,153.83,132,230.399993896484
637,,153.83,153.83,132,230.399993896484
639,,153.83,153.83,132,230.399993896484
640,,518.51,518.51,132,230.399993896484
641,,210.76,210.76,144,201.600006103516
642,,121.36,121.36,132,230.399993896484
643,,121.36,121.36,132,230.399993896484
644,,355.23,355.23,132,230.399993896484
645,,775.58,775.58,132,230.399993896484
646,,1376.18,1376.18,132,230.399993896484
647,,121.36,121.36,132,230.399993896484
648,,121.36,121.36,132,230.399993896484
649,,184.49,184.49,144,201.600006103516
650,,184.49,184.49,144,201.600006103516
651,,417.21,417.21,132,230.399993896484
652,,184.49,184.49,144,201.600006103516
653,,184.49,184.49,144,201.600006103516
654,,153.83,153.83,132,230.399993896484
656,,121.36,121.36,132,230.399993896484
657,,121.36,121.36,132,230.399993896484
659,,1611.13,1611.13,132,230.399993896484
660,,355.23,355.23,132,230.399993896484
662,,153.83,153.83,132,230.399993896484
665,,417.21,417.21,132,230.399993896484
666,,153.83,153.83,132,230.399993896484
667,,775.58,775.58,132,230.399993896484
669,,1246.42,1246.42,132,230.399993896484
670,,376.69,376.69,144,201.600006103516
671,,376.69,376.69,144,201.600006103516
674,,21908.34,21908.34,132,230.399993896484
675,,1178.43,1178.43,132,230.399993896484
676,,501.71,501.71,132,230.399993896484
677,,84.36,84.36,144,201.600006103516
678,,84.36,84.36,144,201.600006103516
679,,210.64,210.64,132,230.399993896484
680,,210.64,210.64,132,230.399993896484
682,,229.82,229.82,132,230.399993896484
683,,229.82,229.82,132,230.399993896484
684,,501.71,501.71,132,230.399993896484
685,,83.61,83.61,144,201.600006103516
686,,83.61,83.61,144,201.600006103516
687,,86.59,86.59,132,230.399993896484
688,,86.59,86.59,132,230.399993896484
689,,615.89,615.89,132,230.399993896484
691,,2272.53,2272.53,132,230.399993896484
692,,86.59,86.59,132,230.399993896484
694,,752.03,752.03,132,230.399993896484
695,,443.22,443.22,144,201.600006103516
696,,443.22,443.22,144,201.600006103516
697,,292.59,292.59,132,230.399993896484
698,,354.94,354.94,132,230.399993896484
699,,501.71,501.71,132,230.399993896484
701,,83.61,83.61,144,201.600006103516
703,,86.59,86.59,132,230.399993896484
704,,229.82,229.82,132,230.399993896484
706,,210.64,210.64,132,230.399993896484
707,,210.64,210.64,132,230.399993896484
709,,86.59,86.59,132,230.399993896484
710,,2140.98,2140.98,144,172.800003051758
711,,354.94,354.94,132,230.399993896484
712,,292.59,292.59,132,230.399993896484
714,,287.11,287.11,132,230.399993896484
715,,752.03,752.03,132,230.399993896484
716,,752.03,752.03,132,230.399993896484
717,,287.11,287.11,132,230.399993896484
718,,354.94,354.94,132,230.399993896484
719,,83.61,83.61,144,201.600006103516
720,,210.64,210.64,132,230.399993896484
721,,210.64,210.64,132,230.399993896484
723,,2008.36,2008.36,132,230.399993896484
724,,388.96,388.96,132,230.399993896484
725,,388.96,388.96,132,230.399993896484
726,,83.61,83.61,144,201.600006103516
727,,752.03,752.03,132,230.399993896484
728,,752.03,752.03,132,230.399993896484
729,,210.64,210.64,132,230.399993896484
730,,292.59,292.59,132,230.399993896484
731,,292.59,292.59,132,230.399993896484
732,,229.82,229.82,132,230.399993896484
733,,292.59,292.59,132,230.399993896484
734,,354.94,354.94,132,230.399993896484
735,,229.82,229.82,132,230.399993896484
736,,292.59,292.59,132,230.399993896484
738,,388.96,388.96,132,230.399993896484
739,,388.96,388.96,132,230.399993896484
740,,86.59,86.59,132,230.399993896484
742,,292.59,292.59,132,230.399993896484
743,,301.65,301.65,144,201.600006103516
744,,292.59,292.59,132,230.399993896484
745,,210.64,210.64,132,230.399993896484
746,,83.61,83.61,144,201.600006103516
747,,301.65,301.65,144,201.600006103516
748,,1310.09,1310.09,132,230.399993896484
749,,1310.09,1310.09,132,230.399993896484
750,,84.36,84.36,144,201.600006103516
752,,501.71,501.71,132,230.399993896484
753,,229.82,229.82,132,230.399993896484
754,,229.82,229.82,132,230.399993896484
755,,301.65,301.65,144,201.600006103516
757,,83.61,83.61,144,201.600006103516
758,,615.89,615.89,132,230.399993896484
759,,615.89,615.89,132,230.399993896484
761,,354.94,354.94,132,230.399993896484
762,,287.11,287.11,132,230.399993896484
764,,388.96,388.96,132,230.399993896484
766,,615.89,615.89,132,230.399993896484
767,,229.82,229.82,132,230.399993896484
769,,210.64,210.64,132,230.399993896484
770,,210.64,210.64,132,230.399993896484
771,,84.36,84.36,144,201.600006103516
772,,84.36,84.36,144,201.600006103516
773,,650.93,650.93,144,201.600006103516
